Title,Price,Importé neuf,Kilométrage,Année,Boite de vitesses,Carburant,Date,Puissance fiscale,Nombre de portes,Couleur,Carrosserie,Véhicule dédouané,Première main,Véhicule en garantie
OPEL Astra,117 000 Dhs,,179000.0,2016.0,Manuelle,Diesel,05-12-2024,8.0,5.0,Bleu,Coupé,2016,,
VOLKSWAGEN Touareg,79 000 Dhs,,189000.0,2009.0,Automatique,Diesel,05-12-2024,10.0,5.0,Grisclair,Suvet4x4,2009,,
VOLVO S60,59 000 Dhs,,199000.0,2009.0,Automatique,Diesel,05-12-2024,8.0,5.0,Gris,Berline,2009,Oui,
CHEVROLET Captiva,78 000 Dhs,,199000.0,2008.0,Automatique,Diesel,05-12-2024,8.0,5.0,Noir,Berline,2008,,
OPEL Astra,74 000 Dhs,,249000.0,2009.0,Manuelle,Diesel,05-12-2024,7.0,5.0,Blanc,Coupé,2009,Oui,
PORSCHE Cayenne,850 000 Dhs,Oui,130000.0,2020.0,Automatique,Hybride,05-12-2024,,,Blanc,,,Oui,
VOLVO V40,155 000 Dhs,,182000.0,2016.0,Automatique,Diesel,05-12-2024,8.0,5.0,Noir,,,Oui,
FIAT Punto,37 000 Dhs,,180000.0,2012.0,Manuelle,Essence,05-12-2024,6.0,5.0,Noir,Cabriolet,,,
MASERATI Ghibli,,,119000.0,2014.0,Automatique,Diesel,05-12-2024,11.0,5.0,,,2014,,
ALFA-ROMEO Autre,308 000 Dhs,,9000.0,2023.0,Automatique,Hybride,05-12-2024,8.0,5.0,,,2023,Oui,
SSANGYONG Stavic,58 000 Dhs,,299000.0,2015.0,Manuelle,Diesel,05-12-2024,8.0,5.0,,,2015,,
FIAT 500,148 000 Dhs,,54000.0,2021.0,Automatique,Essence,05-12-2024,7.0,3.0,,,2021,Oui,
PEUGEOT 3008,307 000 Dhs,,19000.0,2022.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2022,Oui,
BMW Serie 1,305 000 Dhs,,19000.0,2020.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2020,Oui,
ALFA-ROMEO Stelvio,699 000 Dhs,,64000.0,2022.0,Automatique,Essence,05-12-2024,17.0,5.0,,,2022,Oui,
DS Autre,310 000 Dhs,,34000.0,2023.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2023,Oui,
JEEP Renegade,249 000 Dhs,,14000.0,2023.0,Automatique,Hybride,05-12-2024,8.0,5.0,,,2023,Oui,
OPEL Astra,272 000 Dhs,,34000.0,2022.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2022,Oui,
CITROEN C3 aircross,169 900 Dhs,,39000.0,2020.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2020,Oui,
FIAT 500,167 000 Dhs,,24000.0,2024.0,Automatique,Essence,05-12-2024,7.0,3.0,,,2024,,
JEEP Compass,243 000 Dhs,,39000.0,2021.0,Manuelle,Diesel,05-12-2024,6.0,5.0,,,2021,Oui,
BMW Serie 3,68 000 Dhs,,169000.0,2008.0,Automatique,Essence,05-12-2024,11.0,5.0,,,2008,,
MERCEDES Vito,109 000 Dhs,,249000.0,2006.0,Manuelle,Diesel,05-12-2024,8.0,5.0,,,2006,Oui,
JAGUAR Xe,190 000 Dhs,,200400.0,2016.0,Automatique,Diesel,05-12-2024,8.0,5.0,Bleu,Berline,,,
FORD Focus 5p,122 000 Dhs,,141028.0,2012.0,Manuelle,Diesel,05-12-2024,6.0,5.0,Rouge,Berline,,,
DACIA Dokker,165 000 Dhs,,60000.0,2020.0,Manuelle,Diesel,05-12-2024,6.0,5.0,Noir,Cabriolet,,Oui,
BMW Serie 1,460 000 Dhs,Oui,45000.0,2021.0,Automatique,Diesel,05-12-2024,8.0,,Grisfonce,,,Oui,
VOLKSWAGEN Golf 8,,Oui,19000.0,2024.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2024,Oui,
DACIA Dokker,149 000 Dhs,,54000.0,2021.0,Manuelle,Diesel,05-12-2024,6.0,,,,2021,,
BMW Serie 3,326 500 Dhs,,149000.0,2020.0,Automatique,Diesel,05-12-2024,8.0,5.0,Noir,Berline,2020,Oui,
JAGUAR F-pace,315 000 Dhs,,109000.0,2018.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2018,Oui,
FIAT 500,135 000 Dhs,,54000.0,2022.0,Automatique,Essence,05-12-2024,7.0,3.0,,,2022,Oui,
BMW Serie 5,600 000 Dhs,,4000.0,2024.0,Automatique,Hybride,05-12-2024,11.0,5.0,,,2024,Oui,
BMW X1,230 000 Dhs,,129000.0,2016.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,2016,Oui,
LAND-ROVER Range rover sport,,Oui,59000.0,2019.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2019,Oui,
AUDI Q3 sportback,,Oui,1.0,2024.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,,,
MERCEDES Classe e,,Oui,4000.0,2024.0,Automatique,Diesel,05-12-2024,9.0,5.0,,,2024,,
AUDI Q3,,Oui,14000.0,2022.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,,,
AUDI A3 sportback,,Oui,1.0,2024.0,Automatique,Diesel,05-12-2024,8.0,5.0,,,,,
JEEP Wrangler,,,49000.0,2015.0,Automatique,Diesel,05-12-2024,11.0,5.0,,,2015,Oui,
LEXUS Lx,,Oui,159000.0,2000.0,Automatique,Essence,05-12-2024,26.0,5.0,,,2000,,
JEEP Wrangler,,,79000.0,2021.0,Automatique,Diesel,05-12-2024,10.0,5.0,,,2021,Oui,
JEEP Grand cherokee,,,129000.0,2017.0,Automatique,Diesel,05-12-2024,12.0,5.0,,,2017,,
LEXUS Ls,,Oui,64000.0,2010.0,Automatique,Essence,05-12-2024,21.0,5.0,,,2010,Oui,
HYUNDAI Tucson,,,44000.0,2023.0,Automatique,Diesel,05-12-2024,6.0,5.0,,,2023,Oui,
